income,credit_score,debt_to_income,loan_amount,employment_years,existing_debts,age,housing_status,loan_purpose,gender,target
58240.35,668.4,22.31,7681.56,9.0,2,42.2,rent,home_improvement,male,1
43743.09,612.0,37.34,13094.89,20.0,1,19.2,mortgage,home_improvement,male,1
41788.93,614.7,38.66,41898.74,1.4,0,39.1,own,debt_consolidation,male,0
41789.26,667.4,29.1,10008.67,4.4,1,34.8,own,debt_consolidation,male,1
89769.84,541.4,35.85,17461.01,2.0,0,46.1,mortgage,education,female,0
65285.83,544.4,36.88,41429.37,9.4,3,34.4,mortgage,debt_consolidation,female,0
37241.81,596.1,43.39,23238.79,5.2,2,34.0,rent,debt_consolidation,male,0
59395.92,634.0,5.93,23941.89,6.0,0,46.8,own,debt_consolidation,female,1
52091.23,673.3,15.37,17544.5,9.6,1,42.0,mortgage,education,female,1
16336.43,760.7,69.09,31985.56,3.0,3,41.8,own,auto,male,0
28028.3,714.3,5.0,36431.27,14.8,2,43.6,rent,debt_consolidation,male,1
53789.68,638.0,18.59,12624.52,4.6,1,19.6,mortgage,debt_consolidation,male,1
86028.51,648.6,27.16,8239.94,1.0,3,47.1,own,education,female,1
41957.28,574.8,32.19,5212.99,7.1,4,45.3,rent,auto,female,0
35866.84,648.6,48.21,28681.64,9.5,0,25.8,own,debt_consolidation,male,0
49104.12,628.4,31.97,26823.0,2.3,1,35.1,rent,home_improvement,male,0
34856.79,674.2,49.16,73286.51,11.7,1,37.5,rent,education,female,0
40644.72,588.0,18.42,22420.3,14.2,2,36.4,mortgage,debt_consolidation,male,1
46375.7,689.0,5.0,20067.35,1.9,2,42.0,rent,debt_consolidation,male,1
27343.8,765.0,43.83,25020.66,24.6,0,55.2,own,home_improvement,female,1
66786.35,641.8,22.02,25817.99,0.9,2,51.0,own,home_improvement,female,1
24949.66,680.1,12.73,19128.33,1.4,0,22.3,rent,education,female,1
23453.12,701.8,56.23,12905.07,1.2,4,45.5,mortgage,education,female,0
51049.84,619.9,13.52,21703.61,13.5,1,53.9,rent,home_improvement,female,1
64506.19,666.8,18.93,21214.42,6.4,5,42.6,rent,education,male,1
50467.4,650.9,27.89,21008.05,1.0,1,51.1,rent,home_improvement,female,1
44212.69,657.3,25.85,33899.13,3.5,1,62.1,rent,debt_consolidation,male,0
40459.61,592.0,17.14,21468.87,5.7,0,50.3,rent,home_improvement,female,0
37406.27,651.8,39.03,8375.06,0.5,1,41.0,own,home_improvement,male,0
73430.68,687.3,13.88,14320.29,12.8,2,50.5,mortgage,auto,female,1
54023.62,758.8,46.59,18982.79,9.8,0,39.7,rent,home_improvement,male,1
38832.44,721.9,61.58,22082.0,4.2,3,38.3,own,home_improvement,male,0
33517.71,811.5,30.74,29028.37,20.5,4,33.8,own,auto,male,1
61166.78,592.4,31.17,22186.76,3.2,2,56.8,mortgage,education,male,0
72669.89,715.4,13.47,4533.74,24.9,5,28.2,own,auto,female,1
