has_candidate,is_feasible,rejection_reason,is_model_verified,is_fully_verified,orig_prob,cf_prob,verification_margin,distance_l0,distance_l1,distance_l2,num_features_changed,changed_features,applicant_id,model,generator,robustness_rate,stability_interval
True,False,"Feature 'status_checking_account_A11' value -0.21 is out of domain bounds [0.00, 1.00]",True,False,0.22222518856468518,0.5295878537612216,0.02958785376122164,29,2.775851069260638,0.5999999999185132,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",3,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A11' value -0.16 is out of domain bounds [0.00, 1.00]",True,False,0.2738481678805767,0.5133072158572313,0.01330721585723127,29,2.0818933111142566,0.44999999997226703,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",8,LogisticRegression,Local_Baseline,0.0,0.0
True,True,,True,True,0.44196665698510124,0.5273787471380594,0.027378747138059434,29,0.6939684728051619,0.15,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",11,LogisticRegression,Local_Baseline,1.0,0.026503149673682946
True,False,"Feature 'status_checking_account_A12' value -0.10 is out of domain bounds [0.00, 1.00]",True,False,0.23360406082080987,0.545663498086862,0.04566349808686199,29,2.7758540591083047,0.5999999999278383,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",15,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A11' value -0.21 is out of domain bounds [0.00, 1.00]",True,False,0.20252606231028328,0.5001637713705993,0.00016377137059930824,29,2.7758451474006156,0.599999999902741,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",22,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A11' value -0.10 is out of domain bounds [0.00, 1.00]",True,False,0.37119750628337456,0.5395509237453139,0.03955092374531388,29,1.387934865161392,0.2999999999972879,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",24,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A11' value -0.31 is out of domain bounds [0.00, 1.00]",True,False,0.14900327453476078,0.5779621766607059,0.07796217666070593,29,4.1637602866721775,0.899999999695509,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",25,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A11' value -0.16 is out of domain bounds [0.00, 1.00]",True,False,0.29489059674601625,0.5390896181759823,0.03908961817598233,29,2.081896581308025,0.4499999999788832,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",27,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'other_debtors_guarantors_A102' value -0.11 is out of domain bounds [0.00, 1.00]",True,False,0.29154707136919095,0.5350784269575332,0.03507842695753316,29,2.0818961023362164,0.44999999997786005,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",37,LogisticRegression,Local_Baseline,0.0,0.0
True,False,"Feature 'status_checking_account_A12' value -0.16 is out of domain bounds [0.00, 1.00]",True,False,0.14138989166030422,0.5629294836039531,0.06292948360395312,29,4.163755913736806,0.8999999996742826,29,"['duration_months', 'credit_amount', 'installment_rate', 'status_checking_account_A11', 'status_checking_account_A12', 'status_checking_account_A13', 'status_checking_account_A14', 'savings_account_A61', 'savings_account_A62', 'savings_account_A63', 'savings_account_A64', 'savings_account_A65', 'other_debtors_guarantors_A101', 'other_debtors_guarantors_A102', 'other_debtors_guarantors_A103', 'property_A121', 'property_A122', 'property_A123', 'property_A124', 'other_installment_plans_A141', 'other_installment_plans_A142', 'other_installment_plans_A143', 'housing_A151', 'housing_A152', 'housing_A153', 'job_A171', 'job_A172', 'job_A173', 'job_A174']",39,LogisticRegression,Local_Baseline,0.0,0.0
