model,metric,n_seeds,mean,std,min,max,ci_95_str
GradientBoosting,accuracy,5,0.7567999999999999,0.03242221460665514,0.724,0.796,"[0.7320, 0.7824]"
GradientBoosting,f1,5,0.8332541757055234,0.02437067505145798,0.8099173553719008,0.8617886178861789,"[0.8140, 0.8526]"
GradientBoosting,roc_auc,5,0.7850057142857143,0.013189031380387059,0.776609523809524,0.8079238095238096,"[0.7774, 0.7972]"
GradientBoosting,balanced_accuracy,5,0.6815238095238095,0.029925076509202696,0.6466666666666666,0.720952380952381,"[0.6587, 0.7044]"
GradientBoosting,DEVR,5,0.0216,0.009633275663033836,0.008,0.032,"[0.0144, 0.0288]"
GradientBoosting,CFSR,5,0.08759549254203637,0.04686064517314954,0.03571428571428571,0.16417910447761194,"[0.0540, 0.1297]"
GradientBoosting,RVR,5,0.8454545454545455,0.22636181087252238,0.5,1.0,"[0.6809, 1.0000]"
GradientBoosting,E2E_VR,5,0.0710930988501186,0.03502748883953132,0.03571428571428571,0.11940298507462686,"[0.0455, 0.0967]"
GradientBoosting,verification_margin,5,0.16657591704339852,0.037673849987729637,0.10105974996388492,0.19561832756310765,"[0.1337, 0.1882]"
LogisticRegression,accuracy,5,0.7472,0.028761084819596106,0.724,0.792,"[0.7272, 0.7680]"
LogisticRegression,f1,5,0.8274387916874145,0.020334452476853684,0.810958904109589,0.8586956521739131,"[0.8129, 0.8426]"
LogisticRegression,roc_auc,5,0.784487619047619,0.014715278745964264,0.7712761904761904,0.8045714285714285,"[0.7737, 0.7961]"
LogisticRegression,balanced_accuracy,5,0.6678095238095239,0.031782994354823305,0.6428571428571429,0.7180952380952381,"[0.6457, 0.6922]"
LogisticRegression,DEVR,5,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
LogisticRegression,CFSR,5,0.21481203007518798,0.02986775793900486,0.17543859649122806,0.25,"[0.1923, 0.2373]"
LogisticRegression,RVR,5,1.0,0.0,1.0,1.0,"[1.0000, 1.0000]"
LogisticRegression,E2E_VR,5,0.21481203007518798,0.02986775793900486,0.17543859649122806,0.25,"[0.1923, 0.2373]"
LogisticRegression,verification_margin,5,0.03834797625143686,0.005567291887057493,0.02951766274691344,0.04346853001567243,"[0.0338, 0.0422]"
MLP_DNN,accuracy,5,0.7416,0.027364210202379335,0.72,0.788,"[0.7248, 0.7640]"
MLP_DNN,f1,5,0.8233657314574383,0.019038622290656518,0.8066298342541437,0.8539944903581267,"[0.8103, 0.8389]"
MLP_DNN,roc_auc,5,0.7765028571428572,0.019115505691012415,0.7518476190476191,0.8054857142857142,"[0.7614, 0.7929]"
MLP_DNN,balanced_accuracy,5,0.6622857142857143,0.034585986702571854,0.638095238095238,0.7228571428571429,"[0.6430, 0.6928]"
MLP_DNN,DEVR,5,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
MLP_DNN,CFSR,5,0.11828469232643805,0.029778605480068623,0.07692307692307693,0.15873015873015872,"[0.0955, 0.1406]"
MLP_DNN,RVR,5,1.0,0.0,1.0,1.0,"[1.0000, 1.0000]"
MLP_DNN,E2E_VR,5,0.11828469232643805,0.029778605480068623,0.07692307692307693,0.15873015873015872,"[0.0955, 0.1406]"
MLP_DNN,verification_margin,5,0.06256646002065483,0.04085507061783254,0.024891877240083904,0.11495198405439015,"[0.0318, 0.0935]"
RandomForest,accuracy,5,0.7472,0.023899790794063472,0.708,0.768,"[0.7272, 0.7632]"
RandomForest,f1,5,0.8398909426812535,0.015463749408343705,0.8142493638676844,0.8542713567839196,"[0.8271, 0.8499]"
RandomForest,roc_auc,5,0.7984761904761906,0.011531473248611684,0.7828571428571428,0.811047619047619,"[0.7898, 0.8071]"
RandomForest,balanced_accuracy,5,0.6137142857142857,0.02836912505234921,0.5704761904761905,0.6447619047619048,"[0.5914, 0.6349]"
RandomForest,DEVR,5,0.0008,0.0017888543819998318,0.0,0.004,"[0.0000, 0.0024]"
RandomForest,CFSR,5,0.07374680715197957,0.028796437060581822,0.03125,0.1111111111111111,"[0.0521, 0.0971]"
RandomForest,RVR,5,0.7,0.29814239699997197,0.3333333333333333,1.0,"[0.4667, 0.9333]"
RandomForest,E2E_VR,5,0.047820881226053644,0.0219598335767556,0.027777777777777776,0.07407407407407407,"[0.0310, 0.0646]"
RandomForest,verification_margin,5,0.015560843834055427,0.013097396600861679,0.0010369843714617133,0.03242776666044345,"[0.0057, 0.0258]"
